,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.11.2021,3.1479,2.5303,3.4369,4.6916,0.1957,0.6654,0.2743,4.9489,5.7794,1.3543,3.7857,0.2441,0.4969,1.0679,0.0607,0.4954,0.434,4.3175,0.2811,0.7862,0.6745,0.058,0.3651,0.2096,3.0284,0.0421,0.1655,1.1755,0.6587,0.1312,258.4365,6.0623
2,10.11.2021,3.1489,2.5304,3.4419,4.6863,0.1964,0.6654,0.2723,4.949,5.7863,1.368,3.7779,0.2434,0.5013,1.0753,0.0604,0.4972,0.4362,4.2758,0.2831,0.7801,0.6691,0.0575,0.3631,0.2102,3.0357,0.0421,0.1641,1.1641,0.6585,0.1305,250.9331,6.0322
3,09.11.2021,3.1691,2.5299,3.4328,4.6758,0.1964,0.6653,0.2719,4.9482,5.8026,1.3675,3.7835,0.2439,0.503,1.0777,0.0601,0.499,0.4398,4.2688,0.286,0.7699,0.668,0.0576,0.3634,0.2103,3.0555,0.0421,0.1635,1.1622,0.6584,0.1302,250.5768,6.0287
4,08.11.2021,3.1676,2.5303,3.4361,4.6761,0.1959,0.6654,0.2724,4.9489,5.7713,1.376,3.7713,0.245,0.5005,1.0765,0.0599,0.497,0.4402,4.2772,0.2839,0.7717,0.6687,0.0578,0.3614,0.2097,3.0589,0.0421,0.164,1.1645,0.6581,0.1296,249.9328,6.0304
5,05.11.2021,3.1626,2.5301,3.4387,4.6819,0.1951,0.6653,0.2733,4.9485,5.7641,1.3746,3.7684,0.2446,0.4994,1.0741,0.0599,0.4991,0.442,4.2904,0.281,0.7657,0.6699,0.0577,0.3612,0.2083,3.0362,0.0421,0.1643,1.168,0.658,0.1288,247.4745,6.0383
6,04.11.2021,3.1822,2.5302,3.4515,4.6904,0.1937,0.6654,0.2726,4.9486,5.8418,1.3734,3.7615,0.2437,0.5015,1.0742,0.0598,0.4996,0.4415,4.2852,0.2806,0.7716,0.6697,0.0575,0.3615,0.2086,3.0567,0.0421,0.1638,1.1667,0.6578,0.1282,245.1057,6.0408
7,03.11.2021,3.1789,2.5304,3.44,4.6886,0.1934,0.6653,0.2718,4.949,5.8169,1.378,3.7501,0.2435,0.5023,1.0761,0.0594,0.4992,0.4418,4.2704,0.2774,0.7518,0.6677,0.0573,0.3614,0.2059,3.0497,0.0421,0.1628,1.1626,0.6583,0.1282,244.7707,6.027
8,02.11.2021,3.1832,2.5302,3.4379,4.6767,0.1936,0.6652,0.2714,4.9487,5.8152,1.3741,3.7564,0.2447,0.5045,1.0734,0.0594,0.4997,0.4476,4.265,0.2758,0.7509,0.6666,0.0571,0.3626,0.2046,3.0434,0.0421,0.1622,1.1611,0.6571,0.1283,245.8282,6.0232
9,01.11.2021,3.2088,2.5303,3.4565,4.6751,0.1932,0.6652,0.2723,4.9488,5.8372,1.3734,3.7437,0.2433,0.5071,1.0702,0.0604,0.4988,0.4478,4.2769,0.279,0.7587,0.6686,0.0571,0.3632,0.2084,3.0706,0.0421,0.1627,1.1644,0.6575,0.1282,245.6884,6.0325
10,29.10.2021,3.2009,2.5303,3.4414,4.6615,0.1928,0.6653,0.2703,4.9489,5.8529,1.3708,3.7346,0.2434,0.5076,1.0719,0.0602,0.4973,0.4417,4.2471,0.2773,0.7522,0.664,0.0567,0.3628,0.2075,3.0482,0.0421,0.1617,1.1562,0.6581,0.1281,245.4817,6.0108
