,0,1,2,3,4
0,Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
1,1.,Alba,13313,50,"1,72"
2,2.,Arad,15173,54,"1,43"
3,3.,Argeș,19848,44,"1,15"
4,4.,Bacău,18029,73,"1,62"
5,5.,Bihor,19400,82,"1,89"
6,6.,Bistrița-Năsăud,7977,34,"1,23"
7,7.,Botoșani,9278,78,"1,54"
8,8.,Brașov,27557,150,"2,51"
9,9.,Brăila,9089,29,"1,74"
10,10.,Buzău,8783,16,"0,68"
11,11.,Caraș-Severin,7307,35,"1,95"
12,12.,Călărași,6904,26,"1,22"
13,13.,Cluj,33888,186,"3,49"
14,14.,Constanța,29018,121,"2,43"
15,15.,Covasna,5408,25,"0,91"
16,16.,Dâmbovița,16021,44,"1,3"
17,17.,Dolj,16767,48,"1,59"
18,18.,Galați,18066,67,"1,96"
19,19.,Giurgiu,7060,74,"1,3"
20,20.,Gorj,5495,28,"0,9"
21,21.,Harghita,5650,32,"0,69"
22,22.,Hunedoara,12877,63,"1,47"
23,23.,Ialomița,7406,21,"1,19"
24,24.,Iași,30174,125,"1,21"
25,25.,Ilfov,27331,120,"3,48"
26,26.,Maramureș,12460,64,"2,61"
27,27.,Mehedinți,5395,13,"0,95"
28,28.,Mureș,16153,65,"1,21"
29,29.,Neamț,12092,58,"1,42"
30,30.,Olt,10250,46,"0,57"
31,31.,Prahova,25423,73,"1,13"
32,32.,Satu Mare,7895,73,"1,7"
33,33.,Sălaj,6824,75,"1,98"
34,34.,Sibiu,18042,44,"1,54"
35,35.,Suceava,17750,114,"1,84"
36,36.,Teleorman,8620,35,"1,71"
37,37.,Timiș,30379,194,"4,07"
38,38.,Tulcea,5892,15,"1,15"
39,39.,Vaslui,11563,54,"1,56"
40,40.,Vâlcea,10684,24,"1,45"
41,41.,Vrancea,7556,30,"0,71"
42,42.,Mun. București,113825,257,"2,96"
43,43.,Cazuri noi nealocate pe județe,2276*,141, 
44, TOTAL,700.898,3.000, ,
